District Name,Year,Crop,Area,Production
Hissar,2015,Barley,16.58,58.59
Hissar,2015,Chickpea,32.61,20.81
Hissar,2015,Pigeonpea,0.0,0.0
Hissar,2015,Minor Pulses,9.72,4.85
Hissar,2015,Groundnut,4.27,5.17
Hissar,2015,Sesamum,0.51,0.34
Hissar,2015,Rapeseed And Mustard,235.84,378.75
Hissar,2015,Safflower,0.0,0.0
Hissar,2015,Castor,0.0,0.0
Hissar,2015,Linseed,0.0,0.0
Hissar,2015,Sunflower,0.0,0.0
Hissar,2015,Soyabean,0.0,0.0
Hissar,2015,Oilseeds,240.62,384.26
Hissar,2015,Sugarcane,0.0,0.0
Hissar,2015,Cotton,443.93,132.11
Hissar,2016,Rice,289.75,1031.73
Hissar,2016,Wheat,847.16,4169.38
Hissar,2016,Kharif Sorghum,0.0,0.0
Hissar,2016,Rabi Sorghum,0.0,0.0
Hissar,2016,Sorghum,1.92,1.42
Hissar,2016,Pearl Millet,130.37,236.19
Hissar,2016,Maize,0.3,0.0
Hissar,2016,Finger Millet,0.0,0.0
Hissar,2016,Barley,11.02,38.78
Hissar,2016,Chickpea,19.97,24.16
Hissar,2016,Pigeonpea,0.0,0.0
Hissar,2016,Minor Pulses,16.31,26.13
Hissar,2016,Groundnut,4.4,5.47
Hissar,2016,Sesamum,0.51,0.27
Hissar,2016,Rapeseed And Mustard,234.07,399.83
Hissar,2016,Safflower,0.0,0.0
Hissar,2016,Castor,0.0,0.0
Hissar,2016,Linseed,0.0,0.0
Hissar,2016,Sunflower,0.0,0.0
Hissar,2016,Soyabean,0.0,0.0
Hissar,2016,Oilseeds,240.71,399.77
Hissar,2016,Sugarcane,5.1,30.75
Hissar,2016,Cotton,422.2,289.11
Hissar,2017,Rice,305.38,1077.83
Hissar,2017,Wheat,829.58,4131.43
Hissar,2017,Kharif Sorghum,0.0,0.0
Hissar,2017,Rabi Sorghum,0.0,0.0
Hissar,2017,Sorghum,1.42,0.71
Hissar,2017,Pearl Millet,110.51,144.55
Hissar,2017,Maize,0.17,0.0
Hissar,2017,Finger Millet,0.0,0.0
Hissar,2017,Barley,10.39,35.36
Hissar,2017,Chickpea,21.5,25.1
Hissar,2017,Pigeonpea,0.0,0.0
Hissar,2017,Minor Pulses,14.2,24.69
Hissar,2017,Groundnut,3.2,3.6
Hissar,2017,Sesamum,0.34,0.17
Hissar,2017,Rapeseed And Mustard,252.79,503.33
Hissar,2017,Safflower,0.0,0.0
Hissar,2017,Castor,0.0,0.0
Hissar,2017,Linseed,0.0,0.0
Hissar,2017,Sunflower,0.0,0.0
Hissar,2017,Soyabean,0.0,0.0
Hissar,2017,Oilseeds,257.03,520.3
Hissar,2017,Sugarcane,0.0,0.0
Hissar,2017,Cotton,482.57,202.1
Gurgaon,2010,Rice,54.0,140.0
Gurgaon,2010,Wheat,252.3,1140.0
Gurgaon,2010,Kharif Sorghum,24.2,13.0
Gurgaon,2010,Rabi Sorghum,0.0,0.0
Gurgaon,2010,Sorghum,24.2,13.0
Gurgaon,2010,Pearl Millet,73.4,123.0
Gurgaon,2010,Maize,0.0,0.0
Gurgaon,2010,Finger Millet,0.0,0.0
Gurgaon,2010,Barley,3.5,10.0
Gurgaon,2010,Chickpea,0.4,1.0
Gurgaon,2010,Pigeonpea,0.0,0.0
Gurgaon,2010,Minor Pulses,0.0,0.0
Gurgaon,2010,Groundnut,0.0,0.0
Gurgaon,2010,Sesamum,1.1,0.2
Gurgaon,2010,Rapeseed And Mustard,39.9,72.0
Gurgaon,2010,Safflower,0.0,0.0
Gurgaon,2010,Castor,0.0,0.0
Gurgaon,2010,Linseed,0.0,0.0
Gurgaon,2010,Sunflower,0.0,0.0
Gurgaon,2010,Soyabean,0.0,0.0
Gurgaon,2010,Oilseeds,40.9,72.2
Gurgaon,2010,Sugarcane,3.1,17.0
Gurgaon,2010,Cotton,0.4,0.0
Gurgaon,2011,Rice,54.8,149.0
Gurgaon,2011,Wheat,253.9,1227.0
Gurgaon,2011,Kharif Sorghum,23.1,12.0
Gurgaon,2011,Rabi Sorghum,0.0,0.0
Gurgaon,2011,Sorghum,23.1,12.0
Gurgaon,2011,Pearl Millet,68.5,139.0
Gurgaon,2011,Maize,0.0,0.0
Gurgaon,2011,Finger Millet,0.0,0.0
Gurgaon,2011,Barley,3.7,17.0
Gurgaon,2011,Chickpea,0.4,1.0
Gurgaon,2011,Pigeonpea,0.0,0.0
Gurgaon,2011,Minor Pulses,0.0,0.0
Gurgaon,2011,Groundnut,0.0,0.0
Gurgaon,2011,Sesamum,0.8,0.3
Gurgaon,2011,Rapeseed And Mustard,41.7,79.0
Gurgaon,2011,Safflower,0.0,0.0
Gurgaon,2011,Castor,0.0,0.0
Gurgaon,2011,Linseed,0.0,0.0
Gurgaon,2011,Sunflower,0.0,0.0
Gurgaon,2011,Soyabean,0.0,0.0
Gurgaon,2011,Oilseeds,42.5,79.3
Gurgaon,2011,Sugarcane,3.4,26.0
Gurgaon,2011,Cotton,0.4,0.0
Gurgaon,2012,Rice,49.23,134.0
Gurgaon,2012,Wheat,243.45,1084.0
Gurgaon,2012,Kharif Sorghum,16.37,8.5
Gurgaon,2012,Rabi Sorghum,0.0,0.0
Gurgaon,2012,Sorghum,16.37,8.5
Gurgaon,2012,Pearl Millet,63.95,132.0
Gurgaon,2012,Maize,0.04,0.0
Gurgaon,2012,Finger Millet,0.0,0.0
Gurgaon,2012,Barley,4.76,15.0
Gurgaon,2012,Chickpea,0.3,0.0
Gurgaon,2012,Pigeonpea,2.42,2.52
Gurgaon,2012,Minor Pulses,0.76,2.14
Gurgaon,2012,Groundnut,0.01,0.01
Gurgaon,2012,Sesamum,0.78,0.3
Gurgaon,2012,Rapeseed And Mustard,47.42,82.0
Gurgaon,2012,Safflower,0.0,0.0
Gurgaon,2012,Castor,0.0,0.0
Gurgaon,2012,Linseed,0.0,0.0
Gurgaon,2012,Sunflower,0.0,0.0
Gurgaon,2012,Soyabean,0.0,0.0
Gurgaon,2012,Oilseeds,48.2,82.3
Gurgaon,2012,Sugarcane,4.56,30.1
Gurgaon,2012,Cotton,1.26,0.68
Gurgaon,2013,Rice,55.0,149.0
Gurgaon,2013,Wheat,249.0,1114.0
Gurgaon,2013,Kharif Sorghum,21.0,11.0
Gurgaon,2013,Rabi Sorghum,0.0,0.0
Gurgaon,2013,Sorghum,21.0,11.0
Gurgaon,2013,Pearl Millet,67.0,138.0
Gurgaon,2013,Maize,0.0,0.0
Gurgaon,2013,Finger Millet,0.0,0.0
Gurgaon,2013,Barley,4.0,16.0
Gurgaon,2013,Chickpea,1.0,1.0
Gurgaon,2013,Pigeonpea,1.8,1.9
Gurgaon,2013,Minor Pulses,0.6,0.4
Gurgaon,2013,Groundnut,0.0,0.0
Gurgaon,2013,Sesamum,0.7,0.4
Gurgaon,2013,Rapeseed And Mustard,44.0,69.0
Gurgaon,2013,Safflower,0.0,0.0
Gurgaon,2013,Castor,0.0,0.0
Gurgaon,2013,Linseed,0.0,0.0
Gurgaon,2013,Sunflower,0.0,0.0
Gurgaon,2013,Soyabean,0.0,0.0
Gurgaon,2013,Oilseeds,45.2,69.4
Gurgaon,2013,Sugarcane,3.0,17.8
Gurgaon,2013,Cotton,1.0,0.68
Gurgaon,2014,Rice,57.0,159.0
Gurgaon,2014,Wheat,259.0,851.0
Gurgaon,2014,Kharif Sorghum,16.0,8.0
Gurgaon,2014,Rabi Sorghum,0.0,0.0
Gurgaon,2014,Sorghum,16.0,8.0
Gurgaon,2014,Pearl Millet,68.0,120.0
Gurgaon,2014,Maize,0.0,0.0
Gurgaon,2014,Finger Millet,0.0,0.0
Gurgaon,2014,Barley,3.0,9.0
Gurgaon,2014,Chickpea,0.0,0.0
Gurgaon,2014,Pigeonpea,0.0,0.0
Gurgaon,2014,Minor Pulses,2.2,1.6
Gurgaon,2014,Groundnut,0.0,0.0
Gurgaon,2014,Sesamum,0.0,0.0
Gurgaon,2014,Rapeseed And Mustard,33.0,44.0
Gurgaon,2014,Safflower,0.0,0.0
Gurgaon,2014,Castor,0.0,0.0
Gurgaon,2014,Linseed,0.0,0.0
Gurgaon,2014,Sunflower,0.0,0.0
Gurgaon,2014,Soyabean,0.0,0.0
Gurgaon,2014,Oilseeds,34.5,46.5
Gurgaon,2014,Sugarcane,2.0,8.7
Gurgaon,2014,Cotton,5.0,2.55
Gurgaon,2015,Rice,59.0,138.0
Gurgaon,2015,Wheat,257.8,1028.0
Gurgaon,2015,Kharif Sorghum,17.0,9.0
Gurgaon,2015,Rabi Sorghum,0.0,0.0
Gurgaon,2015,Sorghum,17.0,9.0
Gurgaon,2015,Pearl Millet,68.9,126.0
Gurgaon,2015,Maize,0.0,0.0
Gurgaon,2015,Finger Millet,0.0,0.0
Gurgaon,2015,Barley,2.8,10.0
Gurgaon,2015,Chickpea,0.4,1.0
Gurgaon,2015,Pigeonpea,0.0,0.0
Gurgaon,2015,Minor Pulses,2.0,0.2
Gurgaon,2015,Groundnut,0.0,0.0
Gurgaon,2015,Sesamum,1.6,0.7
Gurgaon,2015,Rapeseed And Mustard,35.2,57.0
Gurgaon,2015,Safflower,0.0,0.0
Gurgaon,2015,Castor,0.0,0.0
Gurgaon,2015,Linseed,0.0,0.0
Gurgaon,2015,Sunflower,0.0,0.0
Gurgaon,2015,Soyabean,0.0,0.0
Gurgaon,2015,Oilseeds,36.8,57.7
Gurgaon,2015,Sugarcane,0.0,0.0
Gurgaon,2015,Cotton,10.4,3.06
Gurgaon,2016,Rice,62.1,166.0
Gurgaon,2016,Wheat,255.2,1127.0
Gurgaon,2016,Kharif Sorghum,0.0,0.0
Gurgaon,2016,Rabi Sorghum,0.0,0.0
Gurgaon,2016,Sorghum,20.6,15.0
Gurgaon,2016,Pearl Millet,71.1,128.0
Gurgaon,2016,Maize,0.0,0.0
Gurgaon,2016,Finger Millet,0.0,0.0
Gurgaon,2016,Barley,2.2,8.0
Gurgaon,2016,Chickpea,0.4,0.3
Gurgaon,2016,Pigeonpea,0.0,0.0
Gurgaon,2016,Minor Pulses,2.3,15.3
Gurgaon,2016,Groundnut,0.0,0.0
Gurgaon,2016,Sesamum,0.8,0.6
Gurgaon,2016,Rapeseed And Mustard,32.5,86.0
Gurgaon,2016,Safflower,0.0,0.0
Gurgaon,2016,Castor,0.0,0.0
Gurgaon,2016,Linseed,0.0,0.0
Gurgaon,2016,Sunflower,0.0,0.0
Gurgaon,2016,Soyabean,0.0,0.0
Gurgaon,2016,Oilseeds,33.3,86.7
Gurgaon,2016,Sugarcane,3.3,18.0
Gurgaon,2016,Cotton,13.3,7.2
Gurgaon,2017,Rice,64.2,174.0
Gurgaon,2017,Wheat,243.7,1105.0
Gurgaon,2017,Kharif Sorghum,0.0,0.0
Gurgaon,2017,Rabi Sorghum,0.0,0.0
Gurgaon,2017,Sorghum,17.6,9.0
Gurgaon,2017,Pearl Millet,64.6,137.0
Gurgaon,2017,Maize,0.0,0.0
Gurgaon,2017,Finger Millet,0.0,0.0
Gurgaon,2017,Barley,2.3,10.0
Gurgaon,2017,Chickpea,0.4,1.0
Gurgaon,2017,Pigeonpea,0.0,0.0
Gurgaon,2017,Minor Pulses,1.3,17.1
Gurgaon,2017,Groundnut,0.0,0.0
Gurgaon,2017,Sesamum,0.8,0.4
Gurgaon,2017,Rapeseed And Mustard,41.1,91.1
Gurgaon,2017,Safflower,0.0,0.0
Gurgaon,2017,Castor,0.0,0.0
Gurgaon,2017,Linseed,0.0,0.0
Gurgaon,2017,Sunflower,0.0,0.0
Gurgaon,2017,Soyabean,0.0,0.0
Gurgaon,2017,Oilseeds,41.9,91.6
Gurgaon,2017,Sugarcane,0.0,0.0
Gurgaon,2017,Cotton,23.7,10.08
Jind,2010,Rice,142.47,362.48
Jind,2010,Wheat,247.77,1132.3
Jind,2010,Kharif Sorghum,0.0,0.0
Jind,2010,Rabi Sorghum,0.0,0.0
Jind,2010,Sorghum,0.0,0.0
Jind,2010,Pearl Millet,44.86,91.52
Jind,2010,Maize,0.0,0.0
Jind,2010,Finger Millet,0.0,0.0
Jind,2010,Barley,0.6,3.0
Jind,2010,Chickpea,0.22,0.0
Jind,2010,Pigeonpea,0.0,0.0
Jind,2010,Minor Pulses,0.0,0.0
Jind,2010,Groundnut,0.0,0.0
Jind,2010,Sesamum,0.1,0.0
Jind,2010,Rapeseed And Mustard,5.03,9.36
Jind,2010,Safflower,0.0,0.0
Jind,2010,Castor,0.0,0.0
Jind,2010,Linseed,0.0,0.0
Jind,2010,Sunflower,0.0,0.0
Jind,2010,Soyabean,0.0,0.0
Jind,2010,Oilseeds,5.14,9.36
Jind,2010,Sugarcane,2.46,16.7
Jind,2010,Cotton,48.07,27.36
Jind,2011,Rice,143.4,379.98
Jind,2011,Wheat,247.76,1305.74
Jind,2011,Kharif Sorghum,0.0,0.0
Jind,2011,Rabi Sorghum,0.0,0.0
Jind,2011,Sorghum,0.0,0.0
Jind,2011,Pearl Millet,29.34,60.7
Jind,2011,Maize,0.0,0.0
Jind,2011,Finger Millet,0.0,0.0
Jind,2011,Barley,0.6,4.0
Jind,2011,Chickpea,0.12,0.0
Jind,2011,Pigeonpea,0.0,0.0
Jind,2011,Minor Pulses,0.0,0.0
Jind,2011,Groundnut,0.0,0.0
Jind,2011,Sesamum,0.1,0.0
Jind,2011,Rapeseed And Mustard,4.54,7.18
Jind,2011,Safflower,0.0,0.0
Jind,2011,Castor,0.0,0.0
Jind,2011,Linseed,0.0,0.0
Jind,2011,Sunflower,0.0,0.0
Jind,2011,Soyabean,0.0,0.0
Jind,2011,Oilseeds,4.64,7.18
Jind,2011,Sugarcane,3.37,24.88
Jind,2011,Cotton,64.53,44.48
Jind,2012,Rice,143.25,410.16
Jind,2012,Wheat,246.99,1067.08
Jind,2012,Kharif Sorghum,0.08,0.0
Jind,2012,Rabi Sorghum,0.0,0.0
Jind,2012,Sorghum,0.08,0.0
Jind,2012,Pearl Millet,23.51,49.34
Jind,2012,Maize,0.0,0.0
Jind,2012,Finger Millet,0.0,0.0
Jind,2012,Barley,0.56,4.0
Jind,2012,Chickpea,0.09,0.0
Jind,2012,Pigeonpea,0.07,0.07
Jind,2012,Minor Pulses,0.14,0.33
Jind,2012,Groundnut,0.0,0.0
Jind,2012,Sesamum,0.06,0.02
Jind,2012,Rapeseed And Mustard,4.74,8.36
Jind,2012,Safflower,0.0,0.0
Jind,2012,Castor,0.0,0.0
Jind,2012,Linseed,0.0,0.0
Jind,2012,Sunflower,0.0,0.0
Jind,2012,Soyabean,0.0,0.0
Jind,2012,Oilseeds,4.76,8.36
Jind,2012,Sugarcane,4.02,25.78
Jind,2012,Cotton,68.61,42.92
Jind,2013,Rice,148.44,417.6
Jind,2013,Wheat,248.32,1137.84
Jind,2013,Kharif Sorghum,0.0,0.0
Jind,2013,Rabi Sorghum,0.0,0.0
Jind,2013,Sorghum,0.0,0.0
Jind,2013,Pearl Millet,15.72,35.8
Jind,2013,Maize,0.0,0.0
Jind,2013,Finger Millet,0.0,0.0
Jind,2013,Barley,1.0,3.0
Jind,2013,Chickpea,0.0,0.0
Jind,2013,Pigeonpea,0.0,0.0
Jind,2013,Minor Pulses,0.14,0.07
Jind,2013,Groundnut,0.0,0.0
Jind,2013,Sesamum,0.1,0.0
Jind,2013,Rapeseed And Mustard,4.18,7.36
Jind,2013,Safflower,0.0,0.0
Jind,2013,Castor,0.0,0.0
Jind,2013,Linseed,0.0,0.0
Jind,2013,Sunflower,0.0,0.0
Jind,2013,Soyabean,0.0,0.0
Jind,2013,Oilseeds,4.34,7.36
Jind,2013,Sugarcane,4.72,37.85
Jind,2013,Cotton,74.98,40.71
Jind,2014,Rice,151.98,423.6
Jind,2014,Wheat,250.5,932.92
Jind,2014,Kharif Sorghum,0.0,0.0
Jind,2014,Rabi Sorghum,0.0,0.0
Jind,2014,Sorghum,0.0,0.0
Jind,2014,Pearl Millet,11.36,22.9
Jind,2014,Maize,0.0,0.0
Jind,2014,Finger Millet,0.0,0.0
Jind,2014,Barley,1.0,2.0
Jind,2014,Chickpea,0.0,0.0
Jind,2014,Pigeonpea,0.0,0.0
Jind,2014,Minor Pulses,0.02,0.02
Jind,2014,Groundnut,0.0,0.0
Jind,2014,Sesamum,0.0,0.0
Jind,2014,Rapeseed And Mustard,3.18,3.18
Jind,2014,Safflower,0.0,0.0
Jind,2014,Castor,0.0,0.0
Jind,2014,Linseed,0.0,0.0
Jind,2014,Sunflower,0.0,0.0
Jind,2014,Soyabean,0.0,0.0
Jind,2014,Oilseeds,3.53,3.18
Jind,2014,Sugarcane,4.54,30.95
Jind,2014,Cotton,77.8,37.39
Jind,2015,Rice,158.14,401.2
Jind,2015,Wheat,248.3,1089.46
Jind,2015,Kharif Sorghum,0.0,0.0
Jind,2015,Rabi Sorghum,0.0,0.0
Jind,2015,Sorghum,0.0,0.0
Jind,2015,Pearl Millet,12.45,22.72
Jind,2015,Maize,0.0,0.0
Jind,2015,Finger Millet,0.0,0.0
Jind,2015,Barley,1.0,3.0
Jind,2015,Chickpea,0.0,0.0
Jind,2015,Pigeonpea,0.0,0.0
Jind,2015,Minor Pulses,0.02,0.0
Jind,2015,Groundnut,0.0,0.0
Jind,2015,Sesamum,0.0,0.1
Jind,2015,Rapeseed And Mustard,4.13,7.36
Jind,2015,Safflower,0.0,0.0
Jind,2015,Castor,0.0,0.0
Jind,2015,Linseed,0.0,0.0
Jind,2015,Sunflower,0.0,0.0
Jind,2015,Soyabean,0.0,0.0
Jind,2015,Oilseeds,4.13,7.46
Jind,2015,Sugarcane,0.0,0.0
Jind,2015,Cotton,73.91,13.95
Jind,2016,Rice,164.16,448.36
Jind,2016,Wheat,248.14,1210.98
Jind,2016,Kharif Sorghum,0.0,0.0
Jind,2016,Rabi Sorghum,0.0,0.0
Jind,2016,Sorghum,0.0,0.0
Jind,2016,Pearl Millet,19.54,35.08
Jind,2016,Maize,0.0,0.0
Jind,2016,Finger Millet,0.0,0.0
Jind,2016,Barley,0.0,0.0
Jind,2016,Chickpea,0.0,0.0
Jind,2016,Pigeonpea,0.0,0.0
Jind,2016,Minor Pulses,0.19,2.15
Jind,2016,Groundnut,0.0,0.0
Jind,2016,Sesamum,0.0,0.1
Jind,2016,Rapeseed And Mustard,4.18,8.18
Jind,2016,Safflower,0.0,0.0
Jind,2016,Castor,0.0,0.0
Jind,2016,Linseed,0.0,0.0
Jind,2016,Sunflower,0.0,0.0
Jind,2016,Soyabean,0.0,0.0
Jind,2016,Oilseeds,4.18,8.28
Jind,2016,Sugarcane,5.72,44.84
Jind,2016,Cotton,60.44,32.08
Jind,2017,Rice,165.65,491.38
Jind,2017,Wheat,247.65,1241.38
Jind,2017,Kharif Sorghum,0.0,0.0
Jind,2017,Rabi Sorghum,0.0,0.0
Jind,2017,Sorghum,0.0,0.0
Jind,2017,Pearl Millet,14.35,25.08
Jind,2017,Maize,0.0,0.0
Jind,2017,Finger Millet,0.0,0.0
Jind,2017,Barley,0.3,0.0
Jind,2017,Chickpea,0.1,0.0
Jind,2017,Pigeonpea,0.0,0.0
Jind,2017,Minor Pulses,0.2,0.0
Jind,2017,Groundnut,0.0,0.0
Jind,2017,Sesamum,0.0,0.0
Jind,2017,Rapeseed And Mustard,5.06,10.54
Jind,2017,Safflower,0.0,0.0
Jind,2017,Castor,0.0,0.0
Jind,2017,Linseed,0.0,0.0
Jind,2017,Sunflower,0.0,0.0
Jind,2017,Soyabean,0.0,0.0
Jind,2017,Oilseeds,5.16,10.54
Jind,2017,Sugarcane,0.0,0.0
Jind,2017,Cotton,63.9,31.85
Mahendragarh / Narnaul,2010,Rice,8.53,19.72
Mahendragarh / Narnaul,2010,Wheat,136.05,630.31
Mahendragarh / Narnaul,2010,Kharif Sorghum,0.87,0.87
Mahendragarh / Narnaul,2010,Rabi Sorghum,0.0,0.0
Mahendragarh / Narnaul,2010,Sorghum,0.87,0.87
Mahendragarh / Narnaul,2010,Pearl Millet,227.73,404.16
Mahendragarh / Narnaul,2010,Maize,0.03,0.0
Mahendragarh / Narnaul,2010,Finger Millet,0.0,0.0
Mahendragarh / Narnaul,2010,Barley,4.9,15.76
Mahendragarh / Narnaul,2010,Chickpea,30.88,31.14
Mahendragarh / Narnaul,2010,Pigeonpea,0.0,0.0
Mahendragarh / Narnaul,2010,Minor Pulses,0.0,0.0
Mahendragarh / Narnaul,2010,Groundnut,0.19,0.1
Mahendragarh / Narnaul,2010,Sesamum,0.49,0.17
Mahendragarh / Narnaul,2010,Rapeseed And Mustard,183.88,348.77
Mahendragarh / Narnaul,2010,Safflower,0.0,0.0
Mahendragarh / Narnaul,2010,Castor,0.0,0.0
Mahendragarh / Narnaul,2010,Linseed,0.0,0.0
Mahendragarh / Narnaul,2010,Sunflower,0.0,0.0
Mahendragarh / Narnaul,2010,Soyabean,0.0,0.0
Mahendragarh / Narnaul,2010,Oilseeds,184.56,349.04
Mahendragarh / Narnaul,2010,Sugarcane,0.32,2.61
Mahendragarh / Narnaul,2010,Cotton,11.06,6.35
Mahendragarh / Narnaul,2011,Rice,7.95,21.17
Mahendragarh / Narnaul,2011,Wheat,126.93,586.3
Mahendragarh / Narnaul,2011,Kharif Sorghum,0.78,0.87
Mahendragarh / Narnaul,2011,Rabi Sorghum,0.0,0.0
Mahendragarh / Narnaul,2011,Sorghum,0.78,0.87
Mahendragarh / Narnaul,2011,Pearl Millet,217.4,470.31
Mahendragarh / Narnaul,2011,Maize,0.0,0.0
Mahendragarh / Narnaul,2011,Finger Millet,0.0,0.0
Mahendragarh / Narnaul,2011,Barley,6.27,21.43
Mahendragarh / Narnaul,2011,Chickpea,21.1,20.18
Mahendragarh / Narnaul,2011,Pigeonpea,0.0,0.0
Mahendragarh / Narnaul,2011,Minor Pulses,0.0,0.0
Mahendragarh / Narnaul,2011,Groundnut,0.19,0.19
Mahendragarh / Narnaul,2011,Sesamum,0.35,0.12
Mahendragarh / Narnaul,2011,Rapeseed And Mustard,203.48,242.82
Mahendragarh / Narnaul,2011,Safflower,0.0,0.0
Mahendragarh / Narnaul,2011,Castor,0.0,0.0
Mahendragarh / Narnaul,2011,Linseed,0.0,0.0
Mahendragarh / Narnaul,2011,Sunflower,0.0,0.0
